Species,Date,Total,Method,Type,Comments
ADPE,23/1/2002,3705,Ground count,Nests,Na
ADPE,28/1/2003,3442,Ground count,Nests,Three observers (normally have two)
ADPE,25/2/2004,5131,Ground count,Nests,Na
ADPE,15/12/2005,3873,Ground count,Nests,Na
ADPE,2/12/2006,5536,Ground count,Nests,Na
ADPE,14/1/2007,5875,Ground count,Chicks,Na
ADPE,29/11/2008,4591,Ground count,Nests,Na
ADPE,18/2/2009,5046,From ship,Adults,Poor visibility
ADPE,22/2/2010,3316,From ship,Adults,Na
ADPE,23/2/2011,4006,From ship,Adults,50% of colony surveyed
GEPE,29/1/2001,2494,Ground count,Nests,Na
GEPE,29/12/2002,2458,Ground count,Nests,Na
GEPE,21/1/2003,1397,Ground count,Nests,Na
GEPE,7/2/2004,600,Ground count,Nests,Na
GEPE,13/1/2005,602,Aerial survey,Nests,75% of colony surveyed
GEPE,15/1/2006,1461,Aerial survey,Nests,Na
GEPE,2/1/2007,2365,Aerial survey,Nests,Na
GEPE,8/1/2008,836,Aerial survey,Nests,Na
GEPE,11/1/2009,997,Aerial survey,Nests,Na
GEPE,20/1/2010,651,Aerial survey,Nests,Na
CHPE,30/3/2006,200,Photograph,Adults,Low quality photograph
CHPE,12/3/2008,185,Photograph,Adults,Na
CHPE,7/2/2010,215,Photograph,Adults,Na
